👎 :-1:
😯 :hushed_face:
😯 :hushed:
🍨 :ice_cream:
🍦 :icecream:
🆔 :id:
🉐 :ideograph_advantage:
👿 :imp:
📥 :inbox_tray:
📨 :incoming_envelope:
💁 :information_desk_person:
ℹ :information_source:
ℹ️ :information_source:
😇 :innocent:
🔠 :input_symbol_for_latin_capital_letters:
🔤 :input_symbol_for_latin_letters:
🔡 :input_symbol_for_latin_small_letters:
🔢 :input_symbol_for_numbers:
🔣 :input_symbol_for_symbols:
⁉️ :interrobang:
📱 :iphone:
🇮🇹 :it:
🇮🇹 :italy_flag:
🏮 :izakaya_lantern:
🎃 :jack_o_lantern:
🇯🇵 :japan_flag:
🗾 :japan:
🏯 :japanese_castle:
🎎 :japanese_dolls:
👺 :japanese_goblin:
👹 :japanese_ogre:
🏣 :japanese_post_office:
🔰 :japanese_symbol_for_beginner:
👖 :jeans:
😹 :joy_cat:
😂 :joy:
🇯🇵 :jp:
🔑 :key:
0⃣ :keycap_0:
1⃣ :keycap_1:
2⃣ :keycap_2:
3⃣ :keycap_3:
4⃣ :keycap_4:
5⃣ :keycap_5:
6⃣ :keycap_6:
7⃣ :keycap_7:
8⃣ :keycap_8:
9⃣ :keycap_9:
🔟 :keycap_ten:
👘 :kimono:
💋 :kiss_mark:
💋 :kiss:
💏 :kiss:
😽 :kissing_cat_face_with_closed_eyes:
😽 :kissing_cat:
😚 :kissing_closed_eyes:
😚 :kissing_face_with_closed_eyes:
😙 :kissing_face_with_smiling_eyes:
😗 :kissing_face:
😘 :kissing_heart:
😙 :kissing_smiling_eyes:
😗 :kissing:
🐨 :koala:
🈁 :koko:
🇰🇷 :kr:
🐞 :lady_beetle:
🔵 :large_blue_circle:
🔷 :large_blue_diamond:
🔶 :large_orange_diamond:
🔴 :large_red_circle:
🌗 :last_quarter_moon_symbol:
🌜 :last_quarter_moon_with_face:
🌗 :last_quarter_moon:
😆 :laughing:
🍃 :leaf_fluttering_in_wind:
🍃 :leaves:
📒 :ledger:
🛅 :left_luggage:
🔍 :left_pointing_magnifying_glass:
↔ :left_right_arrow:
↔️ :left_right_arrow:
↩ :leftwards_arrow_with_hook:
↩️ :leftwards_arrow_with_hook:
⬅ :leftwards_black_arrow:
🍋 :lemon:
♌ :leo:
🐆 :leopard:
